preferredName_A,preferredName_B
PROKR2,OTX2
PROKR2,OTX2
PROKR2,SOX3
PROKR2,SOX3
PROKR2,HESX1
PROKR2,HESX1
PROKR2,FGFR1
PROKR2,FGFR1
PROKR2,FGF8
PROKR2,FGF8
GNB3,SLC12A3
GNB3,SLC12A3
GNB3,MTHFR
GNB3,MTHFR
HNF1A,HESX1
HNF1A,HESX1
HNF1A,ABCC8
HNF1A,ABCC8
HNF1A,KCNJ11
HNF1A,KCNJ11
HNF1A,PPARG
HNF1A,PPARG
SIX3,NODAL
SIX3,NODAL
SIX3,GAS1
SIX3,GAS1
SIX3,FOXH1
SIX3,FOXH1
SIX3,CDON
SIX3,CDON
SIX3,PTCH1
SIX3,PTCH1
SIX3,GLI2
SIX3,GLI2
SIX3,SOX3
SIX3,SOX3
SIX3,TGIF1
SIX3,TGIF1
SIX3,HESX1
SIX3,HESX1
SIX3,FGF8
SIX3,FGF8
SIX3,SOX2
SIX3,SOX2
SIX3,DISP1
SIX3,DISP1
SIX3,ZIC2
SIX3,ZIC2
SIX3,SHH
SIX3,SHH
SIX3,OTX2
SIX3,OTX2
GJA1,CDON
GJA1,CDON
GJA1,SOX2
GJA1,SOX2
GJA1,NKX2-5
GJA1,NKX2-5
DISP1,GAS1
DISP1,GAS1
DISP1,NODAL
DISP1,NODAL
DISP1,FOXH1
DISP1,FOXH1
DISP1,CDON
DISP1,CDON
DISP1,GLI2
DISP1,GLI2
DISP1,SUFU
DISP1,SUFU
DISP1,ZIC2
DISP1,ZIC2
DISP1,SHH
DISP1,SHH
NODAL,SHH
NODAL,SHH
NODAL,NKX2-5
NODAL,NKX2-5
NODAL,ZIC2
NODAL,ZIC2
NODAL,SOX2
NODAL,SOX2
NODAL,FOXH1
NODAL,FOXH1
NODAL,TDGF1
NODAL,TDGF1
PPARG,COL2A1
PPARG,COL2A1
PPARG,ABCC8
PPARG,ABCC8
PPARG,SOX2
PPARG,SOX2
PPARG,TGIF1
PPARG,TGIF1
PPARG,KCNJ11
PPARG,KCNJ11
HESX1,SHH
HESX1,SHH
HESX1,OTX2
HESX1,OTX2
HESX1,GLI2
HESX1,GLI2
HESX1,FGF8
HESX1,FGF8
HESX1,SOX2
HESX1,SOX2
HESX1,SOX3
HESX1,SOX3
TDGF1,FGFR1
TDGF1,FGFR1
TDGF1,FGF8
TDGF1,FGF8
TDGF1,ZIC2
TDGF1,ZIC2
TDGF1,OTX2
TDGF1,OTX2
TDGF1,FOXH1
TDGF1,FOXH1
TDGF1,SOX2
TDGF1,SOX2
SPINK1,CTRC
SPINK1,CTRC
SHH,COL2A1
SHH,COL2A1
SHH,VANGL2
SHH,VANGL2
